YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,12,1,DL,903,N906DA,ATL,BOS,2154.0,8.0,134.0,22.0,30.0,144.0,137.0,110.0,946.0,220.0,5.0,18.0,225.0,127.0,0.0,0.0,,0.0,0.0,33.0,94.0,0.0
2015,1,30,5,B6,683,N526JB,JFK,MCO,659.0,657.0,-2.0,49.0,746.0,182.0,197.0,137.0,944.0,1003.0,11.0,1001.0,1014.0,13.0,0.0,0.0,,,,,,
2015,2,23,1,HA,30,N399HA,OGG,SEA,1550.0,1548.0,-2.0,9.0,1557.0,330.0,338.0,323.0,2640.0,2320.0,6.0,2320.0,2326.0,6.0,0.0,0.0,,,,,,
2015,2,12,4,EV,6079,N16961,ATW,ORD,1610.0,1637.0,27.0,9.0,1646.0,62.0,53.0,33.0,160.0,1719.0,11.0,1712.0,1730.0,18.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0
2015,1,28,3,EV,5911,N11544,GRB,ORD,1115.0,1059.0,-16.0,8.0,1107.0,63.0,71.0,38.0,173.0,1145.0,25.0,1218.0,1210.0,-8.0,0.0,0.0,,,,,,
2015,1,16,5,F9,406,N922FR,LAX,DEN,1525.0,1517.0,-8.0,9.0,1526.0,134.0,122.0,107.0,862.0,1813.0,6.0,1839.0,1819.0,-20.0,0.0,0.0,,,,,,
2015,2,19,4,AA,2332,N018AA,DFW,ORD,755.0,750.0,-5.0,12.0,802.0,135.0,134.0,115.0,802.0,957.0,7.0,1010.0,1004.0,-6.0,0.0,0.0,,,,,,
2015,1,14,3,UA,1145,N69804,ORD,LAX,2016.0,2033.0,17.0,14.0,2047.0,280.0,248.0,228.0,1744.0,2235.0,6.0,2256.0,2241.0,-15.0,0.0,0.0,,,,,,
2015,2,2,1,WN,2429,N448WN,SMF,SNA,1505.0,1458.0,-7.0,13.0,1511.0,80.0,80.0,63.0,404.0,1614.0,4.0,1625.0,1618.0,-7.0,0.0,0.0,,,,,,
2015,1,19,1,AA,2473,N3EKAA,ORD,MIA,725.0,716.0,-9.0,12.0,728.0,188.0,167.0,148.0,1197.0,1056.0,7.0,1133.0,1103.0,-30.0,0.0,0.0,,,,,,
2015,2,21,6,AA,1044,N380AA,ORD,MIA,1205.0,1237.0,32.0,12.0,1249.0,188.0,175.0,149.0,1197.0,1618.0,14.0,1613.0,1632.0,19.0,0.0,0.0,,0.0,0.0,19.0,0.0,0.0
2015,1,22,4,WN,3302,N285WN,HOU,LAX,1225.0,1224.0,-1.0,11.0,1235.0,225.0,217.0,192.0,1390.0,1347.0,14.0,1410.0,1401.0,-9.0,0.0,0.0,,,,,,
2015,2,20,5,AS,152,N762AS,OME,ANC,1255.0,1317.0,22.0,11.0,1328.0,85.0,93.0,78.0,539.0,1446.0,4.0,1420.0,1450.0,30.0,0.0,0.0,,8.0,0.0,0.0,22.0,0.0
2015,2,26,4,DL,1406,N130DL,LAX,DTW,2332.0,2340.0,8.0,21.0,1.0,263.0,252.0,222.0,1979.0,643.0,9.0,655.0,652.0,-3.0,0.0,0.0,,,,,,
2015,1,12,1,AA,1698,N3CJAA,SJU,DFW,940.0,934.0,-6.0,8.0,942.0,330.0,308.0,289.0,2165.0,1231.0,11.0,1310.0,1242.0,-28.0,0.0,0.0,,,,,,
2015,1,21,3,US,1828,N827AW,MIA,CLT,2105.0,2057.0,-8.0,17.0,2114.0,129.0,121.0,95.0,650.0,2249.0,9.0,2314.0,2258.0,-16.0,0.0,0.0,,,,,,
2015,1,10,6,EV,5535,N695CA,MDT,ATL,1320.0,1314.0,-6.0,9.0,1323.0,127.0,106.0,94.0,620.0,1457.0,3.0,1527.0,1500.0,-27.0,0.0,0.0,,,,,,
